TASK	ERROR-RETRY-TIMES	CREATED-TIME	SUBMITED-TIME	STARTED_TIME	FINISHED_TIME	EXECUTION-TIME
0	0	4/21/2008 0:12:40	4/21/2008 0:12:49	4/21/2008 0:12:50	4/21/2008 0:13:0	10745.0	10.0null
1	0	4/21/2008 0:12:40	4/21/2008 0:12:49	4/21/2008 0:12:50	4/21/2008 0:12:59	9566.0	9.0null
2	0	4/21/2008 0:12:40	4/21/2008 0:12:49	4/21/2008 0:12:52	4/21/2008 0:13:0	8105.0	8.0null
3	0	4/21/2008 0:12:40	4/21/2008 0:12:49	4/21/2008 0:12:54	4/21/2008 0:13:40	46251.0	46.0null
4	0	4/21/2008 0:12:40	4/21/2008 0:12:49	4/21/2008 0:12:50	4/21/2008 0:12:59	9742.0	9.0null
5	0	4/21/2008 0:12:40	4/21/2008 0:12:49	4/21/2008 0:12:53	4/21/2008 0:13:41	48779.0	48.0null
6	0	4/21/2008 0:12:40	4/21/2008 0:12:49	4/21/2008 0:12:52	4/21/2008 0:13:12	19888.0	19.0null
7	0	4/21/2008 0:12:40	4/21/2008 0:12:49	4/21/2008 0:12:50	4/21/2008 0:13:0	10560.0	10.0null
8	0	4/21/2008 0:12:40	4/21/2008 0:12:49	4/21/2008 0:12:52	4/21/2008 0:13:43	51298.0	51.0null
9	0	4/21/2008 0:12:40	4/21/2008 0:12:49	4/21/2008 0:12:52	4/21/2008 0:13:11	18789.0	18.0null
10	0	4/21/2008 0:12:40	4/21/2008 0:12:50	4/21/2008 0:12:52	4/21/2008 0:13:0	8215.0	8.0null
11	0	4/21/2008 0:12:40	4/21/2008 0:12:50	4/21/2008 0:12:54	4/21/2008 0:13:46	51930.0	51.0null
12	0	4/21/2008 0:12:40	4/21/2008 0:12:50	4/21/2008 0:12:50	4/21/2008 0:13:4	13359.0	13.0null
13	0	4/21/2008 0:12:40	4/21/2008 0:12:50	4/21/2008 0:12:53	4/21/2008 0:13:12	18393.0	18.0null
14	0	4/21/2008 0:12:40	4/21/2008 0:12:50	4/21/2008 0:12:54	4/21/2008 0:13:40	46222.0	46.0null
15	0	4/21/2008 0:12:40	4/21/2008 0:12:50	4/21/2008 0:12:51	4/21/2008 0:13:5	13256.0	13.0null
16	0	4/21/2008 0:12:40	4/21/2008 0:12:50	4/21/2008 0:12:56	4/21/2008 0:13:17	20263.0	20.0null
17	0	4/21/2008 0:12:40	4/21/2008 0:12:50	4/21/2008 0:12:53	4/21/2008 0:13:44	51591.0	51.0null
18	0	4/21/2008 0:12:40	4/21/2008 0:12:50	4/21/2008 0:12:50	4/21/2008 0:13:2	11947.0	11.0null
19	0	4/21/2008 0:12:40	4/21/2008 0:12:50	4/21/2008 0:12:52	4/21/2008 0:13:14	21979.0	21.0null
20	0	4/21/2008 0:12:40	4/21/2008 0:12:51	4/21/2008 0:12:53	4/21/2008 0:13:45	52269.0	52.0null
21	0	4/21/2008 0:12:40	4/21/2008 0:12:51	4/21/2008 0:12:53	4/21/2008 0:13:5	11826.0	11.0null
22	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:53	4/21/2008 0:13:14	21569.0	21.0null
23	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:56	4/21/2008 0:13:5	8494.0	8.0null
24	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:54	4/21/2008 0:13:44	50478.0	50.0null
25	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:55	4/21/2008 0:13:7	11986.0	11.0null
26	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:54	4/21/2008 0:13:41	47346.0	47.0null
27	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:56	4/21/2008 0:13:17	20272.0	20.0null
28	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:55	4/21/2008 0:13:6	11629.0	11.0null
29	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:13:0	4/21/2008 0:13:47	47357.0	47.0null
30	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:55	4/21/2008 0:13:6	11083.0	11.0null
31	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:13:0	4/21/2008 0:13:45	44705.0	44.0null
32	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:54	4/21/2008 0:13:47	52914.0	52.0null
33	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:58	4/21/2008 0:13:16	18104.0	18.0null
34	0	4/21/2008 0:12:40	4/21/2008 0:12:53	4/21/2008 0:12:56	4/21/2008 0:13:47	51023.0	51.0null
35	0	4/21/2008 0:12:40	4/21/2008 0:12:53	4/21/2008 0:12:55	4/21/2008 0:13:8	13406.0	13.0null
36	0	4/21/2008 0:12:40	4/21/2008 0:12:53	4/21/2008 0:12:58	4/21/2008 0:13:7	8459.0	8.0null
37	0	4/21/2008 0:12:40	4/21/2008 0:12:54	4/21/2008 0:12:56	4/21/2008 0:13:41	45554.0	45.0null
38	0	4/21/2008 0:12:40	4/21/2008 0:12:54	4/21/2008 0:12:55	4/21/2008 0:13:8	12901.0	12.0null
39	0	4/21/2008 0:12:40	4/21/2008 0:12:55	4/21/2008 0:12:59	4/21/2008 0:13:17	18098.0	18.0null
40	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:55	4/21/2008 0:13:44	49180.0	49.0null
41	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:54	4/21/2008 0:13:6	12013.0	12.0null
42	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:57	4/21/2008 0:13:16	19398.0	19.0null
43	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:54	4/21/2008 0:13:47	52898.0	52.0null
44	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:55	4/21/2008 0:13:7	12606.0	12.0null
45	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:56	4/21/2008 0:13:17	20219.0	20.0null
46	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:57	4/21/2008 0:13:17	20216.0	20.0null
47	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:55	4/21/2008 0:13:8	13378.0	13.0null
48	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:55	4/21/2008 0:13:6	11576.0	11.0null
49	0	4/21/2008 0:12:40	4/21/2008 0:12:52	4/21/2008 0:12:58	4/21/2008 0:13:17	18240.0	18.0null
